Name,Id
唧唧咋咋,18301
怪音波,18302
绒绒治疗,18303
哥布防御,18304
魔法锤,18305
防御指示,18306
蛙腿,18307
音爆,18308
口笛,18309
白骑士之旅,18310
黑骑士之旅,18311
5级即死,18312
火箭炮,18313
永恒射线,18314
仙人盾,18315
复仇冲击,18316
天使低语,18317
蜕皮,18318
逆流,18319
捕食,18320
小侦测,18321
以太复制,18322
穿甲散弹,18323
类星体,18324
正义飞踢,18325
奋起,1580
集中,1582
魔气,1583
坚守,1585
自愈,1590
铁壁,7531
挑衅,7533
雪仇,7535
退避,7537
插言,7538
下踢,7540
内丹,7541
浴血,7542
真北,7546
亲疏自行,7548
牵制,7549
伤头,7551
伤足,7553
伤腿,7554
速行,7557
沉稳咏唱,7559
昏乱,7560
即刻咏唱,7561
醒梦,7562
康复,7568
营救,7571
扫腿,7863
沉静,16560
全力挥打,17671
铁壁,17672
后闪,17674
浴血,17676
隔离罩,17677
伤腿,17678
伤足,17679
亲疏自行,17681
速行,17682
吸取,17683
即刻咏唱,17685
昏乱,17686
魔罩,17687
营救,17688
平衡,17689
沉静,17690
护盾,17832
雪仇,17866
自愈,18928
武器投掷,18952
牵制,18954
集中,18955
以太爆发,18956
慈爱,18957
还击,18990
