伊甸零式希望乐园 (觉醒之章1),"E1S
       ■三角攻击    　    | 　   ■白球诱导
  D3　　　　　D4 　|　D3　MT　 D4
  　MT　　　ST　  　|
  　　　  ◎  　　　　 |　D1　 ◎ 　D2
  　D1　　　D2　 　|
  H1　　　　　H2　 |　H1　 ST 　H2
 ───────────────────────
        ■2人分摊　     　|      ■转转球诱导
 MT/D3　　ST/D4　| 　　　   D3
 　 　　   ◎ 　　 　　 | 　　H1  ◎  H2
 H1/D1　　H2/D2   | 　　　   D4
        ■4:4分摊
 MTH1D1D3  ◎  STH2D2D4
■黑洞 D1西  D2东  D3北  D4南
■小怪 西MT 东ST"
吉祥天女歼殛战,"极美神
■ 开场先杀左侧小怪
■ 死刑: 光之奔流  ■ 蓝球: 点名二仇波动炮
■ 诱惑之腕: 场边放置
■ 完全拒绝: 接近BOSS ■完全引诱: 远离BOSS
■ P2小怪需均匀削血，留一点HP
等待小怪开启以太后立即击杀
击杀小怪后开启以太防护
■P3后吃地面球可以增加一次以太使用机会"
萨菲洛特歼殛战,"极魔神
【P1分摊】
左ST治疗　右DPS 
单绿圈接近诱导
【绿紫圈、巨人化后散开位置共通】
　 　　BOSS
　　　  紫(orA标记)
近1　MT　ST　近2
　远1　　　　远2
　 　学　　 白
小怪大MT　小ST　顺序→小大小小大小
【巨人化】
塔(Debuff有)　左坦克治疗　右DPS
塔(Debuff无)　左MT　右ST
撼地　左TH　右DPS
LB（物理远程＞法系）"
莫古力贤王歼殛战,"极莫古力
奶妈关注全队状态栏,及时驱散怒发冲冠debuff和莫古乱乱乱debuff
MT拉壁去左下角,ST拉斧去右下角,小怪3层buff挑衅BOSS换T
全体小怪平均削血,没事别站中间"
索菲娅歼殛战,"极女神
信徒阶段2→3→1。魔枪背对人群. 猛突进一人承伤。
▼▼　不平衡之罚散开　▼▼
　　　 　MT/D1
H1/D2　▲女神▲　H2/D3
　　　 　ST/D4
两边连线相差0条去蓝色对面+大倾斜
两边连线相差1条去线多那边+小倾斜
两边连线相差2条去线多那边+大倾斜
睿智之秤(绿色的气息预兆)时换T。"
圆桌骑士幻想歼灭战,"极骑神
P1龙眼之邪背对
天踵 死刑减伤
P2冲刺和人群站场边花纹根部
p2小怪: MT右 ST左 先打剑姿
穿天 南→北→南
龙眼之光后MT将BOSS拉到龙眼处
圣盾猛击 被点名的奶站最后面,ST最前面,除MT其他人站中间 MT不参与"
青龙诗魂战,"极青龙
《菓子系列》极青龙专用宏
——————————————
◆ 升龙踩塔
——————————————
　　 　　 
　MT/D1　ST/D2
　 　 　　 　 　
　H1/D3　H2/D4
　　 　　 
——————————————
◆ 截线：MT左、ST右
◆ 沉默：MT → ST
◆ 顺序：小大小大小
◆ 分摊：A方向H1、坦克
　　 　　C方向H2、DPS"
究极神兵破坏作战,"极神兵
T:三层炸弹debuff换T,第三次以太波动读条开LB
全体:以太波动集体撞球,分摊伤害,必要时开疾跑"
神龙梦幻歼灭战,"极神龙
《菓子系列》极神龙专用宏
——————————————————
　　MT ST　　　|■ 连线+分摊
D1　　　　D2　| MT/D1　ST/D2
　D3　　D4　　| 　　 　 A
　H1　　H2　　| H1/D3　H2/D4
——————————————————
■ 放尾巴
【奶右下 → DPS左下 → T左上or中间】
■ 死亡轮回
【分摊 → MT无敌 → ST无敌 → 分摊】
■ 钻石星辰：H2滑冰
■ 大地吐息：奶妈=左、DPS=右
■ 小怪阶段：MT=中间大龙、ST=其他"
利维亚桑歼殛战,"极水神
奶妈驱散减速,多用再生和能力,少叠水镜
T头尾各一人拉,魔法鱼人记得下踢,不要站在人群方向
DPS远敏近战打尾巴,法师打头
全体出泡泡集火泡泡,BOSS下水迅速开以太防护罩,拍地板开防击退"
泰坦歼殛战,"极泰坦
躲冲拳 躲冲拳 躲冲拳
石牢:dps场中,H→南
先打场中,击退后等冲拳结束打奶
MT将BOSS拉最北侧,ST→小怪→东
炸弹岩石尽量躲,如果躲不掉站石头上,不要吃两次爆炸
3层易伤换T"
无瑕灵君歼殛战,"极完美神
◆ 中场小怪： 
　ＭT - 西（9点） 
　ST - 东（3点） 
◆ 晶石引爆安全点：场地4点方向"
罗波那歼殛战,"极武神
光焰序远离,光焰破去背后
突进找第一个分身,按分身出现方向走
冲天击找栅栏,白圈来分摊"
尼德霍格传奇征龙战,"极邪龙
小怪击杀顺序法拉克ＳＴ→布罗宾雅克ＭＴ→变种龙(学诱导)
ＳＴ远离贴边处理线伤害
          塔散开
　｜   Ａ 　 ↑　    　↑   H2 Ｂ
　｜  　   [D1]  　  [D2] MT ↓
  ｜　
　｜　  ST [D3]  Ｃ  [D4]
　｜    ↑H1   ↓　   　↓　
      燃烧之翼后散开
　｜ＡSt　　　　　　 MtＢ
　｜D1　　　　　　　　 D2
　｜
　｜D3　　　 Ｃ　       D4
　｜　H1　　　　　　 H2
燃烧之翼
不可视AOE,以BOSS为中心直线范围安全,两侧伤害
燃烧之尾
不可视AOE,以BOSS为中心直线范围伤害,两侧安全"
缇坦妮雅歼殛战,"极妖灵王
◆ 踩水圈 
H1　MT      H2 
 　 ST    D2 
D3    D1      D4  
◆ 火分摊
西1点：ST  H1 D1 D3
东2点：MT H2 D2 D4 
◆ 荆棘扯线
西北：TH     东南：D    ※顺时针旋转
◆ 雷截线
西1点：D1→D2→D3→D4→H1→ST
◆ 小怪
西：ST     北：MT"
月读幽夜歼灭战,"极月读
《菓子系列》极月读专用宏
—————————————————
■ 铳弹分摊：BOSS背后
■ 长矛分散：BOSS面向为基准
　　　 T
　　H ●
　　　 D
—————————————————
■ 月读陨石
坦克：A（月牙角上）
奶妈：B或D（月牙对面）
DPS：C（月牙角上）"
俾斯麦歼殛战,"极云神
打BOSS的壳和核心时记得上背！
MT拉左侧蛇,ST拉右侧蛇
雷雨天不打水泡分散站位,其他天气打水泡中间集合"
朱雀诗魂战,"极朱雀
《菓子系列》极朱雀专用宏
———————————————————————
◆羽毛""X""型/小鸟复活｜◆羽毛""十""型/P3踩塔
———————————————————————
　MT/D1　ST/D2　 ｜　 　　MT/D1
　　　 　　　 　　 　 ｜H1/D3　　　ST/D2
　H1/D3　H2/D4　｜　 　　H2/D4"
迦楼罗歼灭战,"迦楼罗歼灭战
开场拉在12点背对人群，其他人远离4个柱子
BOSS 读条螺旋气流，MT穿过BOSS躲避
BOSS第一次上天，所有人柱子后面躲避
BOSS读完寒风啸后，就可以出来了
BOSS召唤小羽毛，第一时间打掉，会炸掉柱子
boss喊话四分五裂，根据柱子剩余情况掉血，注意抬血
爆炸后MT前往7-8点方向等BOSS（可以事先提前标记位置）
旋风躲好，小怪杀掉，先杀绿色的，红的ST拉住，打不打随意
打的慢的话，出现柔羽及时打掉，MT暴风技能一步一步的躲好"
拉姆歼灭战,"拉姆歼灭战
进门陆地6点方向标A，核心技能混乱冲击
尽量去A点集合用电击圈电醒。电圈躲好
留下的电球回收好，电球越多AOE越疼
开场电球MT可以考虑吃3个获得BUFF，其他人随时注意远离MT
小怪阶段一定先打小怪，打BOSS太多血，会团灭
P3阶段读条滚雷，并且连线两名玩家
这个阶段的电球尽量留下3个以上，被连线的任意玩家连吃3个即可解除
"
利维亚桑歼灭战,"利维亚桑歼灭战
开场左侧（长边）中央标A，头尾有仇恨，分别拉
DPS法系打头，物理打尾
治疗站中央，彼此适度分开
真神跳水不会掉下去，但建议掌握观察方法
（第一次下潜，观察长边即A点，出水柱往反方向跑
之后下潜，看短边，如果短边出水柱，就往没水柱的半场跑
如果长边（甲板两侧）出水柱，就转身往后面跑
如果有声音但没水柱，往前跑到甲板边）
吹水泡，第一时间击杀。提示可以使用魔法壁障，BOSS下潜后
打开壁障抵御巨浪，不然会团灭
要注意BOSS血量30%，如果属性转换以太不足30，则无法打开壁障
小怪波齿鱼人不能打断，优先击杀"
莫古力贤王歼灭战,"莫古力贤王歼灭战
P1 出啥打啥，P2 背口诀 “力音愈壁斧弓障”
P2boss出现，MT带到场边，ST带力和斧去另外一边
其他不管，按照口诀快速击杀
小怪不死别碰BOSS！注意！"
那布里亚勒斯讨伐战,"那布里亚勒斯
BOSS读条二重/三重之后，会接电火花
治疗注意提前预读加血，T在三重接电火花的时候记得开减伤
BOSS之后去中央，所有人撞球，一红一黑的撞
不要撞到同一颜色，撞多了会死，尽量把球撞光
出现的小怪顺路打掉即可
BOSS20%血后，会去中央放裂缝
所有人先远离，上好各种BUFF，比如骑士可以开无敌
DPS开爆发，开好后进入裂缝，BUFF会延时10倍时间
进去后会掉陨石，注意踩圈
打完裂缝，直接撸"
死化奇美拉讨伐战,"死化奇美拉讨伐战
T把奇美拉拉出洞，拉到山顶
寒冰咆哮打断，其他出啥躲啥
不拉出山洞，治疗压力大"
泰坦歼灭战,"泰坦歼灭战
躲好直线技能，躲好流沙，不要太分散
雷分两种，圆圈雷和川字雷
圆圈雷中央集合，等外圈第一个炸了以后立刻跑过去躲
川字雷先去旁边，中央炸了后去中央躲避
场地会越来越小，注意别掉下去
BOSS随机点名花刚牢狱，建议走到BOSS附近方便集火打掉
打掉后治疗注意驱散他的debuff
MT注意BOSS用另外的手打你，之后就是掀桌
掀桌要开减伤！"
无限城的死斗,"无限城的死斗
两个怪拉开先打鸟人，这个副本的连线是靠近，是靠近，是靠近！
被变鸡的人去踩风，其他人注意躲开风
P2点名一个治疗，读条捕获，发现读条时，治疗远离BOSS
DPS解救治疗，如果治疗和BOSS太近，会越难打，T注意太近拉开
其他出啥打啥，出啥躲啥"
希瓦歼灭战,"希瓦歼灭战
MT穿越BOSS躲好冰河怒击技能
BOSS说严冰之刃将守护我的兄弟，MT开好减伤
地上的圈尽力躲，躲不开硬吃一个，别多吃
小怪不及时打会团灭，但小怪刚出BOSS就起飞了
说明打BOSS太快，下次慢点打"
伊弗利特歼灭战,"伊弗利特歼灭战
一定转火契，BOSS冲锋时，3只
12点顺时针方向依次冲锋，尽力躲
别慌张，实在不行吃一个，1个不会死，3个必死
三阶段BOSS读条光辉炎柱，T注意打断，掉血很多"
,
,
,
